date,nav,signals,trades,status,daily_return,peak,drawdown
2024-01-08,100000.0,0,0,completed,,100000.0,0.0
2024-01-09,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-10,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-11,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-12,100000.0,0,0,completed,0.0,100000.0,0.0
2024-01-15,100000.0,0,0,completed,0.0,100000.0,0.0
